name,dob,outcome_type,outcome_subtype,outcome_datetime,sex,color,age,breed
Star,2007-10-23,Transfer,Partner,2017-10-26 15:22:00,Intact Male,Brown/Black,10 years,Yorkshire Terrier
*Mr Wrinkles,2019-02-15,Adoption,Foster,2019-04-23 11:59:00,Neutered Male,Brown/White,2 months,Labrador Retriever
A851472,2020-09-13,Transfer,Partner,2022-02-17 12:46:00,Intact Male,Tan/White,1 year,Cairn Terrier
*Rachel,2019-09-11,Adoption,Foster,2019-11-08 18:37:00,Spayed Female,Chocolate/White,1 month,Border Collie
Unknown,2023-01-16,Euthanasia,Suffering,2024-01-20 12:57:00,Unknown,White/Blue,1 year,American Bulldog
*Boris,2015-07-01,Adoption,Foster,2023-08-24 18:04:00,Neutered Male,Brown/White,8 years,Labrador Retriever
Copper,2007-05-16,Adoption,Foster,2015-12-22 11:50:00,Neutered Male,Red,8 years,Miniature Pinscher
Unknown,2015-10-18,Adoption,Foster,2015-12-17 11:33:00,Spayed Female,Red/White,1 month,Boxer
*Grady,2015-02-05,Adoption,Foster,2022-02-15 15:05:00,Neutered Male,Silver,7 years,Labrador Retriever
Elizabeth T,2015-11-08,Adoption,Foster,2019-01-16 11:28:00,Spayed Female,Black/Tan,3 years,Border Terrier
Unknown,2012-05-28,Transfer,Partner,2014-06-01 17:40:00,Spayed Female,White/Buff,2 years,Cairn Terrier
Rocky,2018-03-02,Transfer,Partner,2019-09-03 11:56:00,Intact Male,Black/Tan,1 year,Yorkshire Terrier
Taylor,2011-09-26,Transfer,Partner,2018-07-12 19:02:00,Spayed Female,Tan,6 years,Shiba Inu
Tucker,2021-03-25,Adoption,Foster,2023-09-26 11:07:00,Neutered Male,White/White,2 years,Soft Coated Wheaten Terrier
Zoey,2020-03-12,Transfer,Partner,2020-07-12 13:42:00,Intact Female,Black/White,4 months,Yorkshire Terrier
Lobo,2013-12-05,Return to Owner,Field,2024-07-05 17:33:00,Neutered Male,Black,10 years,Boxer
Tiny,2019-04-06,Adoption,Offsite,2021-04-17 12:33:00,Spayed Female,Black,2 years,Labrador Retriever
J.D.,2009-09-05,Transfer,Partner,2015-09-11 13:50:00,Neutered Male,Chocolate,6 years,Labrador Retriever
Wilson,2013-01-28,Transfer,Partner,2015-07-02 11:04:00,Neutered Male,Tan/White,2 years,Labrador Retriever
*Draper,2022-06-10,Adoption,Foster,2023-01-07 10:08:00,Neutered Male,Brown/White,6 months,Australian Cattle Dog
Molly,2018-02-03,Transfer,Partner,2018-06-22 12:27:00,Intact Female,Brown,4 months,Miniature Schnauzer
Lars,2008-10-24,Transfer,Partner,2015-10-26 00:00:00,Intact Male,Black/Brown,7 years,Yorkshire Terrier
Unknown,2013-08-06,Transfer,Partner,2013-11-26 13:43:00,Intact Male,Tan,3 months,Dachshund
*Morgan,2019-12-07,Adoption,Foster,2021-06-30 14:41:00,Spayed Female,Blue Tick,1 year,Australian Cattle Dog
Unknown,2017-04-16,Transfer,Partner,2017-05-31 18:19:00,Intact Female,Black,1 month,Labrador Retriever
Paddy,2009-10-17,Transfer,Partner,2013-10-18 13:23:00,Neutered Male,Red/Buff,4 years,Dachshund
Unknown,2017-04-10,Adoption,Foster,2017-06-06 17:17:00,Spayed Female,Blue Merle,1 month,Australian Shepherd
Atticus,2011-12-18,Adoption,Foster,2021-01-27 13:11:00,Neutered Male,Chocolate,9 years,Labrador Retriever
*Emmy Lou,2017-05-16,Adoption,Foster,2017-07-21 10:12:00,Spayed Female,Black/Brown,2 months,Labrador Retriever
*Lily,2010-09-18,Adoption,Foster,2017-12-20 07:31:00,Spayed Female,Yellow,7 years,Labrador Retriever
Unknown,2019-07-22,Transfer,Partner,2019-08-03 08:36:00,Unknown,Tricolor,1 weeks,Labrador Retriever
Beau,2013-08-02,Transfer,Partner,2013-12-06 13:55:00,Intact Male,Tan/White,4 months,Greyhound
*Melvin,2008-10-31,Transfer,Partner,2015-11-09 12:38:00,Intact Male,White/Black,7 years,Rat Terrier
Buzz,2018-03-15,Adoption,Foster,2020-05-08 10:43:00,Neutered Male,Black,2 years,Labrador Retriever
*Murray,2023-01-11,Adoption,Foster,2023-03-12 16:56:00,Neutered Male,Black/White,1 month,Labrador Retriever
Prudence,2014-03-21,Transfer,Partner,2018-10-21 18:33:00,Intact Female,Brown/White,4 years,Boxer
Rajah,2017-05-12,Transfer,Partner,2021-08-22 14:47:00,Neutered Male,Black Brindle,4 years,Australian Kelpie
Unknown,2016-01-31,Adoption,Foster,2016-04-04 17:48:00,Neutered Male,Black/White,2 months,Australian Cattle Dog
*Brook,2014-03-24,Adoption,Foster,2016-09-30 12:51:00,Spayed Female,Black/White,2 years,Labrador Retriever
*Gigi,2018-07-02,Adoption,Foster,2018-09-11 13:03:00,Spayed Female,Tan,2 months,Cairn Terrier
*Shiela,2014-04-15,Transfer,Partner,2014-10-08 16:00:00,Intact Female,Red/White,5 months,Australian Cattle Dog
Izzy,2014-12-31,Adoption,Foster,2015-07-24 13:55:00,Neutered Male,Red,6 months,Golden Retriever
Bevo,2006-03-23,Transfer,Partner,2017-02-21 16:24:00,Neutered Male,Buff,10 years,Golden Retriever
*Captain America,2022-05-22,Transfer,Out State,2022-07-20 08:55:00,Intact Male,Black,1 month,Australian Shepherd
Buddy,2011-12-21,Transfer,Partner,2014-04-03 19:07:00,Neutered Male,Tricolor,2 years,Beagle
Unknown,2018-04-21,Transfer,Partner,2019-02-27 12:28:00,Intact Male,Tan/White,10 months,Labrador Retriever
*Dylan,2021-06-11,Transfer,Partner,2021-08-31 15:55:00,Intact Male,Black/Brown,2 months,Rottweiler
*Amelia,2019-02-22,Adoption,Foster,2020-06-09 14:47:00,Spayed Female,Brown Brindle,1 year,Labrador Retriever
*Chelsea,2013-06-03,Transfer,Partner,2015-06-19 13:43:00,Intact Female,Blue/White,2 years,American Staffordshire Terrier
Unknown,2018-04-26,Transfer,Partner,2018-07-27 16:15:00,Spayed Female,Brown Brindle/Black,3 months,Australian Kelpie
Unknown,2013-10-05,Transfer,Partner,2013-10-15 13:30:00,Intact Female,Tricolor,1 weeks,Australian Cattle Dog
*Franzi,2008-01-27,Transfer,Partner,2017-02-01 13:09:00,Spayed Female,Black/Tan,9 years,Dachshund
Jojo,2014-11-27,Euthanasia,Suffering,2016-11-27 18:08:00,Intact Male,Brown,2 years,Labrador Retriever
Stitch,2010-04-24,Adoption,Foster,2020-06-02 07:02:00,Spayed Female,Brown Brindle,10 years,Australian Kelpie
Unknown,2015-03-30,Transfer,Partner,2015-06-24 15:15:00,Intact Female,Black/White,2 months,Labrador Retriever
Peanut Butte,2013-11-21,Transfer,Partner,2014-11-25 15:04:00,Intact Male,Buff,1 year,Shih Tzu
